时间,位置,土壤深度,温度,湿度
2019-10-12 02:10:49,大棚一,20,79.6,21.6
2019-10-12 02:23:03,大棚一,20,79.6,21.6
2019-10-12 02:23:04,大棚一,20,79.6,21.6
2019-10-12 02:23:05,大棚一,20,79.6,21.6
2019-10-12 02:23:05,大棚一,20,79.6,21.6
2019-10-12 02:23:05,大棚一,20,79.6,21.6
2019-10-12 02:23:19,大棚一,20,79.6,21.6
2019-10-12 02:23:27,大棚一,20,79.6,21.6
2019-10-12 02:25:49,大棚一,20,79.6,21.6
2019-10-12 02:25:50,大棚一,20,79.6,21.6
2019-10-12 02:25:50,大棚一,20,79.6,21.6
2019-10-12 02:25:50,大棚一,20,79.6,21.6
2019-10-12 02:25:50,大棚一,20,79.6,21.6
2019-10-12 02:25:50,大棚一,20,79.6,21.6
2019-10-12 02:26:12,大棚一,20,79.6,21.6
2019-10-12 02:26:13,大棚一,20,79.6,21.6
2019-10-12 02:26:31,大棚一,20,79.6,21.6
2019-10-12 02:32:57,大棚一,20,79.6,21.6
2019-10-12 02:33:20,大棚一,20,79.6,21.6
2019-10-12 02:33:45,大棚一,20,79.6,21.6
2019-10-12 02:33:46,大棚一,20,79.6,21.6
2019-10-12 02:33:46,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:47,大棚一,20,79.6,21.6
2019-10-12 02:33:48,大棚一,20,79.6,21.6
2019-10-12 02:34:43,大棚一,20,79.6,21.6
2019-10-12 11:28:56,大棚一,20,80.0,20.0
2019-10-12 04:27:35,大棚一,20,38.2,25.5
2019-10-12 04:27:40,大棚一,20,38.2,25.5
2019-10-12 04:27:46,大棚一,20,38.2,25.5
2019-10-12 04:27:52,大棚一,20,38.3,25.4
2019-10-12 04:27:58,大棚一,20,38.3,25.4
2019-10-12 04:28:04,大棚一,20,38.6,25.4
2019-10-12 04:28:16,大棚一,20,38.4,25.4
2019-10-12 04:28:22,大棚一,20,38.5,25.4
2019-10-12 04:28:28,大棚一,20,39.0,25.4
2019-10-12 04:28:34,大棚一,20,39.6,25.4
2019-10-12 04:28:40,大棚一,20,39.6,25.4
2019-10-12 04:28:46,大棚一,20,39.6,25.4
2019-10-12 04:28:52,大棚一,20,39.2,25.4
2019-10-12 04:28:58,大棚一,20,38.9,25.4
2019-10-12 04:29:10,大棚一,20,39.9,25.5
2019-10-12 04:29:16,大棚一,20,40.3,25.5
2019-10-12 04:29:22,大棚一,20,40.9,25.5
2019-10-12 04:29:28,大棚一,20,40.4,25.6
2019-10-12 04:29:40,大棚一,20,39.3,25.7
2019-10-12 04:29:46,大棚一,20,39.0,25.7
2019-10-12 04:29:52,大棚一,20,39.0,25.8
2019-10-12 04:29:58,大棚一,20,38.8,25.8
2019-10-12 04:30:04,大棚一,20,38.6,25.9
2019-10-12 04:30:10,大棚一,20,38.7,25.9
2019-10-12 04:30:16,大棚一,20,38.7,25.9
2019-10-12 04:30:22,大棚一,20,38.7,26.0
2019-10-12 04:30:28,大棚一,20,38.5,26.0
2019-10-12 04:30:34,大棚一,20,38.5,26.1
2019-10-12 04:31:36,大棚一,20,61.1,28.9
2019-10-12 04:33:36,大棚一,20,41.0,28.6
2019-10-12 04:34:36,大棚一,20,49.8,28.4
2019-10-12 04:35:36,大棚一,20,61.5,30.9
2019-10-12 04:38:14,大棚一,20,41.0,30.1
2019-10-12 04:39:14,大棚一,20,39.4,29.2
2019-10-12 04:40:14,大棚一,20,45.8,29.1
2019-10-12 04:41:55,大棚一,20,62.9,32.0
2019-10-12 04:42:55,大棚一,20,57.3,31.7
2019-10-12 04:44:55,大棚一,20,42.0,28.2
2019-10-12 04:46:55,大棚一,20,42.0,26.7
2019-10-12 04:47:55,大棚一,20,41.0,26.4
2019-10-12 04:48:55,大棚一,20,57.1,29.0
2019-10-14 19:47:09,大棚一,20,57.0,20.0
2020-03-13 14:45:47,大棚一,20,50.0,25.0
2020-03-17 12:57:28,大棚一,20,60.9,15.7
2020-03-17 13:02:28,大棚一,20,58.5,15.6
2020-03-17 13:07:28,大棚一,20,57.0,15.6
2020-03-17 13:12:28,大棚一,20,53.8,15.7
2020-03-17 13:17:28,大棚一,20,55.4,15.7
2020-03-17 13:22:28,大棚一,20,56.6,15.7
2020-03-17 13:27:28,大棚一,20,54.1,15.8
2020-03-17 13:32:28,大棚一,20,57.1,15.7
2020-03-17 13:48:19,大棚一,20,58.0,15.7
2020-03-17 13:53:19,大棚一,20,59.9,15.5
2020-03-17 13:58:19,大棚一,20,61.1,15.4
2020-03-17 14:03:19,大棚一,20,61.6,15.4
2020-03-17 14:08:19,大棚一,20,62.1,15.4
2020-03-17 14:13:19,大棚一,20,62.5,15.4
2020-03-17 14:44:35,大棚一,20,62.5,15.4
2020-03-17 15:35:04,大棚一,20,62.5,15.4
2020-03-17 15:40:00,大棚一,20,67.2,15.8
2020-03-17 15:45:25,大棚一,20,67.8,15.9
2020-03-17 15:50:25,大棚一,20,67.9,15.8
2020-03-17 15:55:25,大棚一,20,68.1,15.9
2020-03-17 16:00:25,大棚一,20,67.8,16.0
2020-03-17 16:05:25,大棚一,20,67.2,16.1
2020-03-17 16:10:25,大棚一,20,66.9,16.0
2020-03-17 16:15:25,大棚一,20,66.4,16.0
2020-03-17 16:20:25,大棚一,20,65.8,16.1
2020-03-17 16:25:25,大棚一,20,66.6,16.0
2020-03-17 16:30:25,大棚一,20,66.4,16.1
2020-03-17 16:35:25,大棚一,20,66.3,16.1
2020-03-17 16:40:25,大棚一,20,66.4,16.2
2020-03-17 16:45:25,大棚一,20,66.5,16.2
2020-03-17 16:50:25,大棚一,20,65.6,16.3
2020-03-17 16:55:25,大棚一,20,64.5,16.2
2020-03-17 17:00:25,大棚一,20,64.7,16.3
2020-03-17 17:05:25,大棚一,20,63.7,16.3
2020-03-17 17:15:25,大棚一,20,63.4,16.2
2020-03-17 17:20:25,大棚一,20,63.6,16.3
2020-03-17 17:25:25,大棚一,20,63.7,16.3
2020-03-17 17:30:25,大棚一,20,63.0,16.3
2020-03-17 17:35:59,大棚一,20,62.5,16.3
2020-03-17 17:40:59,大棚一,20,62.2,16.3
2020-03-17 17:45:59,大棚一,20,62.1,16.4
2020-03-17 17:50:59,大棚一,20,62.8,16.3
2020-03-17 17:55:59,大棚一,20,62.2,16.4
2020-03-17 18:00:59,大棚一,20,62.0,16.3
2020-03-24 11:21:45,大棚一,20,50.0,25.0
2020-03-24 12:19:42,大棚一,20,58.5,20.1
2020-03-24 12:36:09,大棚一,20,57.7,20.2
2020-03-24 12:41:09,大棚一,20,57.8,20.2
2020-03-24 12:46:09,大棚一,20,57.8,20.2
2020-03-24 12:51:09,大棚一,20,56.0,20.2
2020-03-24 12:56:09,大棚一,20,56.6,20.1
2020-03-24 13:01:09,大棚一,20,56.6,20.1
2020-03-24 13:06:09,大棚一,20,56.6,20.1
2020-03-24 13:11:09,大棚一,20,56.6,20.0
2020-03-24 13:16:09,大棚一,20,56.6,20.0
2020-03-24 13:21:09,大棚一,20,56.4,20.0
2020-03-24 13:26:09,大棚一,20,56.4,20.0
2020-03-24 13:31:09,大棚一,20,56.2,20.0
2020-03-24 13:36:09,大棚一,20,56.1,19.9
